Date,Close
2023-01-01,151.50686141218455
2023-01-02,153.07830668715468
2023-01-03,167.25047229008354
2023-01-04,167.38425426472736
2023-01-05,173.34274057957336
2023-01-06,118.58949268624521
2023-01-07,189.5279031700549
2023-01-08,127.35058873603563
2023-01-09,145.95299567677887
2023-01-10,192.81850329438535
2023-01-11,174.1436858822637
2023-01-12,192.74697502288413
2023-01-13,194.23510101131868
2023-01-14,115.38007614838892
2023-01-15,164.74752322259022
2023-01-16,168.17201742069295
2023-01-17,146.7834548202591
2023-01-18,196.49571053450742
2023-01-19,152.62526866950043
2023-01-20,188.1357163561211
2023-01-21,187.2284609554667
2023-01-22,143.7365963083579
2023-01-23,134.71945002499666
2023-01-24,185.78193471347177
2023-01-25,177.096243767199
2023-01-26,109.55714693701606
2023-01-27,124.51159214520928
2023-01-28,180.19987665408757
2023-01-29,173.41710921248844
2023-01-30,188.79586728812728
2023-01-31,150.59444463969322
2023-02-01,168.80893530836164
2023-02-02,188.8866118280577
2023-02-03,207.80475889252597
2023-02-04,197.18235466362145
2023-02-05,151.16822137627543
2023-02-06,134.65188866604876
2023-02-07,127.65102561305385
2023-02-08,124.08968960667015
2023-02-09,123.16722954019461
2023-02-10,148.211576102372
2023-02-11,132.83112492630602
2023-02-12,167.7771856128103
2023-02-13,109.09356704856532
2023-02-14,165.4234207966773
2023-02-15,138.47174140187556
2023-02-16,139.41386119197355
2023-02-17,176.6473016428345
2023-02-18,126.97820752758629
2023-02-19,140.52821479887572
2023-02-20,176.64940460241885
2023-02-21,158.6980809274834
2023-02-22,129.4644176272911
2023-02-23,139.69618405923308
2023-02-24,107.03737279289916
2023-02-25,102.88476437048529
2023-02-26,140.33288061982043
2023-02-27,160.5610669386504
2023-02-28,108.96098275423363
2023-03-01,146.96038387509077
2023-03-02,123.38921076231313
2023-03-03,187.91554437225676
2023-03-04,110.80055569463413
2023-03-05,146.49197738218373
2023-03-06,167.78570928420717
2023-03-07,132.16201909612394
2023-03-08,108.67023703558726
2023-03-09,169.11820138964845
2023-03-10,147.75439081200236
2023-03-11,159.49796275654978
2023-03-12,138.1321833194595
2023-03-13,120.65416220519927
2023-03-14,151.8846508506875
2023-03-15,188.59668412069414
2023-03-16,196.3320625391665
